id;prenom;nom;genre;age;vivant;fiction;celebre;pays_origine;Pays_residence;domaine_metier;metier;passe_metier;proche;enfants;groupe;ecran;religion;
573;Steve;Hart;M;40-60;1;0;1;UK;S;Musique;Chanteur;Chanteur Rock;0;1970;Europeen;;0;
574;Steve;Jobs;M;40-60;0;0;1;USA;S;Entreprise;CEO;CEO Apple;0;1950;Americain du nord;;0;
575;Steve;McQueen;M;40-60;0;0;1;USA;S;Cinema;Acteur;Acteur de film;0;1930;Americain du nord;La grande evasion;0;
576;Steven;Tyler;M;60-80;1;0;1;USA;s;Musique;Chanteur;Chanteur Rock;0;1940;Americain du nord;;0;
577;Stevie;Ray-Vaughan;M;20-40;0;0;1;USA;S;Musique;Guitariste;Guitariste Blues;0;1950;Americain du nord;;0;
578;Stevie;Wonder;M;60-80;1;0;1;USA;S;Musique;Chanteur;Chanteur Blues;0;1950;Americain du nord;;0;
579;Sting;Sting;M;60-80;1;0;1;UK;S;Musique;Chanteur;Chanteur Pop;0;1950;Americain du nord;;0;
580;Susan;Boyle;F;40-60;1;0;1;UK;S;Musique;Chanteuse;Chanteuse Pop;0;1960;Europeen;;0;
581;Sylvester;Stallone;M;60-80;1;0;1;USA;S;Cinema;Acteur;Acteur de film;0;1940;Americain du nord;Rambo;0;
582;Sylvie;Vartan;F;60-80;1;0;1;France;S;Musique;Chanteuse;Chanteuse Variete;0;1940;Europeen;;0;
583;Tara;Lipinski;F;20-40;1;0;1;USA;T;Sport;Patineuse artistique;Patineuse artistique;0;1980;Americain du nord;;0;
584;Tarja;Turunen;F;20-40;1;0;1;Finlande;T;Musique;Chanteuse;Chanteuse Opera;0;1970;Europeen;;0;
585;Taylor;Swift;F;20-40;1;0;1;USA;T;Musique;Chanteuse;Chanteuse Country;0;1980;Americain du nord;;0;
586;Terry;O-Quinn;M;60-80;1;0;1;USA;T;Cinema;Acteur;Acteur dans une serie;0;1950;Americain du nord;Lost;0;
587;Mark William;Calaway;M;40-60;1;0;1;USA;M;Sport;Catcheur;Catcheur;0;1965;Americain du nord;;0;
588;Thierry;Henry;M;20-40;1;0;1;France;T;Sport;footballeur;footballeur national;0;1970;Europeen;;0;
589;Thierry;Lhermitte;M;60-80;1;0;1;France;T;Cinema;Acteur;Acteur de film;0;1950;Europeen;Le diner de con;0;
590;Thom;Yorke;M;40-60;1;0;1;UK;T;Musique;Chanteur;Chanteur Rock;0;1960;Europeen;;0;
591;Tiger;Woods;M;20-40;1;0;1;USA;T;Sport  ;Golfeur;Golfeur n1 mondial;0;1970;Americain du nord;;0;
592;Tim;Burton;M;40-60;1;0;1;USA;T;Cinema;Realisateur;Realisateur fantastique;0;1950;Americain du nord;;0;
593;Timothy;Dalton;M;60-80;1;0;1;UK;T;Cinema;Acteur;Acteur de film;0;1940;Europeen;James Bond;0;
594;Tina;Arena;F;40-60;1;0;1;Australie;T;Musique;Chanteuse;Chanteuse Variete;0;1960;D'Oceanie;;0;
595;Tina;Turner;F;60-80;1;0;1;USA;T;Musique;Chanteuse;Chanteuse Rnb;0;1930;Americain du nord;;0;
596;Tom;Cruise;M;40-60;1;0;1;USA;T;Cinema;Acteur;Acteur de film;0;1960;Americain du nord;Top gun;0;
597;Tom;Hanks;M;40-60;1;0;1;USA;T;Cinema;Acteur;Acteur de film;0;1950;Americain du nord;Forest Gump;0;
598;Tom;Welling;M;20-40;1;0;1;USA;T;Cinema;Acteur;Acteur dans une serie;0;1970;Americain du nord;Smallville;0;
599;Tommy;Lee-Jones;M;60-80;1;0;1;USA;T;Cinema;Acteur;Acteur de film;0;1940;Americain du nord;Men in black;0;
600;Tony;Braxton;F;40-60;1;0;1;USA;T;Musique;Chanteuse;Chanteuse Rnb;0;1960;Americain du nord;;0;
601;Tony;Parker;M;20-40;1;0;1;USA;T;Sport;Basketteur;Basketteur Lakers;0;1960;Americain du nord;;0;
602;Tori;Amos;F;40-60;1;0;1;USA;T;Musique;Chanteuse;Chanteuse Rock;0;1960;Americain du nord;;0;
603;Travis;Barker;M;20-40;1;0;1;USA;T;Musique;Batteur;Batteur Rock;0;1970;Americain du nord;;0;
604;Trent;Reznor;M;40-60;1;0;1;USA;T;Musique;Chanteur;Chanteur Metal;0;1960;Americain du nord;;0;
605;Tuomas;Holopainen;M;20-40;1;0;1;Finlande;T;Musique;Pianiste;Pianiste Metal;0;1970;Europeen;;0;
606;Tupac;Shakur;M;20-40;0;0;1;USA;T;Musique;Chanteur;Chanteur Rap;0;1970;Americain du nord;;0;
607;Twiggy;Lawson;F;60-80;1;0;1;UK;T;Mode;Mannequin;Egerie de Vogue;0;1960;Europeen;;0;
608;Uma;Thurman;F;40-60;1;0;1;USA;U;Cinema;Actrice;Actrice de film;0;1970;Americain du nord;Kill bill;0;
609;Urs;buhler;M;40-60;1;0;1;Suisse;U;Musique;Chanteur;Chanteur Opera;0;1970;Europeen;;0;
610;Usher;Usher;M;20-40;1;0;1;USA;U;Musique;Chanteur;Chanteur Rnb;0;1970;Americain du nord;;0;
611;Val;Kilmer;M;40-60;1;0;1;USA;V;Cinema;Acteur;Acteur de film;0;1950;Americain du nord;The doors;0;
612;Vanessa;Hudgens;F;20-40;1;0;1;USA;V;Musique;Chanteuse;Chanteuse Pop;0;1980;Americain du nord;;0;
613;Vanessa;Paradis;F;40-60;1;0;1;France;V;Musique;Chanteuse;Chanteuse Variete;0;1970;Europeen;;0;
614;Victoria;Beckham;F;20-40;1;0;1;UK;V;Musique;Chanteuse;Chanteuse Rnb;0;1970;Europeen;;0;
615;Vin;Diesel;M;40-60;1;0;1;USA;V;Cinema;Acteur;Acteur de film;0;1960;Americain du nord;Fast and furious;0;
616;Vincent;Cassel;M;40-60;1;0;1;France;V;Cinema;Acteur;Acteur de film;0;1960;Europeen;Black Swan;0;
617;Vincent;Van-gogh;M;20-40;0;0;1;Pays-bas;V;Art;Peintre;Peintre Impressionniste;0;1850;Europeen;;0;
618;Whitney;Houston;M;40-60;0;0;1;USA;W;Musique;Chanteuse;Chanteuse Rnb;0;1960;Americain du nord;;0;
619;Will;Smith;M;40-60;1;0;1;USA;W;Cinema;Acteur;Acteur de film;0;1950;Americain du nord;Men in black;0;
620;Willem;Dafoe;M;40-60;1;0;1;USA;W;Cinema;Acteur;Acteur de film;0;1950;Americain du nord;Spider man;0;
621;Woody;Allen;M;60-80;1;0;1;USA;W;Cinema;Realisateur;Realisateur;0;1930;Americain du nord;Minuit à paris;0;
622;Yannick;Noah;M;40-60;1;0;1;France;Y;Sport  ;Joueur de tennis;Champion Rolland Garros;0;1960;Europeen;;0;
623;Zazie;Zazie;F;40-60;1;0;1;France;Z;Musique;Chanteuse;Chanteuse Variete;0;1960;Europeen;;0;
624;Zinedine;Zidane;M;40-60;1;0;1;France;Z;Sport  ;footballeur;footballeur national;0;1970;Europeen;;0;
